complex,simple,rulebased,t5small,bartbase,t5base_lora,bartlg_lora,best_sari
to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,virot and ponomarenko used high tech cameras to watch the popping kernels.,to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,to watch this very closely virot and ponomarenko used their cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture the process.,they used their high speed cameras to capture kernels popping on a hot plate.,40.74074074074075
to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,virot and ponomarenko used special cameras to capture the different steps of the popping.,to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,to watch this very closely virot and ponomarenko used their cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture the process.,they used their high speed cameras to capture kernels popping on a hot plate.,37.83371472158657
to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,they used the cameras to observe kernels popping on a hot plate.,to observe this process very closely virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,to watch this very closely virot and ponomarenko used their cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture kernels popping on a hot plate.,virot and ponomarenko used their high speed cameras to capture the process.,they used their high speed cameras to capture kernels popping on a hot plate.,39.74358974358975
after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters into the air.,after hundreds of tests they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a leg that emerges from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,46.12403100775194
after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,they eventually discovered that a small leg pops out from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters into the air.,after hundreds of tests they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a leg that emerges from the broken hull.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air.,after hundreds of trials they discovered that the popcorn gets kicked a few millimeters to a few centimeters into the air by a starch leg that emerges from the broken hull.,25.589225589225588
after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,they eventually discovered that a small leg pops out from the broken hull.,after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,after hundreds of tries they discovered that the popcorn gets kicked into the air.,after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,after hundreds of tries they discovered that the popcorn gets kicked into the air by a leg that emerges from the broken hull.,20.689655172413794
after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,when the leg is released the popcorn moves like a gymnast doing a somersault.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,after being compressed on the ground the leg is released.,the leg is released causing the popcorn to somersault like a gymnast.,the leg is compressed on the ground and the popcorn is released.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,49.73544973544974
after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,when the leg is released the popcorn moves like a gymnast somersaulting.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,after being compressed on the ground the leg is released.,the leg is released causing the popcorn to somersault like a gymnast.,the leg is compressed on the ground and the popcorn is released.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,49.73544973544974
after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,the popcorn moves like a gymnast doing a somersault.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,after being compressed on the ground the leg is released.,the leg is released causing the popcorn to somersault like a gymnast.,the leg is compressed on the ground and the popcorn is released.,after being compressed on the ground the leg is released causing the popcorn to somersault like a gymnast.,37.38562091503268
when the leg is released the popcorn moves like a gymnast somersaulting.,the popcorn moves like a gymnast doing a somersault.,when the leg is released the popcorn moves like a gymnast somersaulting.,when the leg is released popcorn moves like a gymnast.,when the leg is released it moves like a gymnast somersaulting.,when the leg is released the popcorn moves like a gymnast.,when the leg is released the popcorn moves like a gymnast somersaulting.,19.607843137254903
when the leg is released the popcorn moves like a gymnast doing a somersault.,it was like a gymnast doing a somersault.,when the leg is released the popcorn moves like a gymnast doing a somersault.,when the leg is released the popcorn moves like a gymnast.,when the leg is released it moves like a gymnast doing a somersault.,when the leg is released the popcorn moves like a gymnast doing a somersault.,when the leg is released the popcorn moves like a gymnast doing a somersault.,50.16339869281046
they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature degrees at a time.,They put kernels of microwaveable popcorn in an oven. Cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels of microwaveable popcorn in an oven.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at least.,58.3732057416268
they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels of microwaveable popcorn in an oven and turned up the temperature slowly.,They put kernels of microwaveable popcorn in an oven. Cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels of microwaveable popcorn in an oven.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at least.,56.16161616161616
they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels in an oven and slowly turned up the temperature.,They put kernels of microwaveable popcorn in an oven. Cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at degrees c regardless of the size of the kernel.,they put kernels of microwaveable popcorn in an oven.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c.,they put kernels of microwaveable popcorn in an oven and cranked up the temperature in increments of degrees c. only percent of the kernels popped at degrees c but percent popped at least.,46.15384615384616
they identified three possibilities the fracture of the hull the rebound on the ground and the release of pressurized water vapor.,they brainstormed three possible reasons for the noise.,They identified three possibilities the fracture of the hull the rebound on the ground. They the release of pressurized water vapor.,they identified three possible problems the fracture of the hull and the release of pressurized water vapor.,they identified three possibilities the fracture of the hull the rebound on the ground and the release of pressurized water vapor.,they identified three possibilities the fracture of the hull the rebound on the ground and the release of pressured water vapor.,they identified three possibilities the fracture of the hull the rebound on the ground and the release of pressurized water vapor.,10.526315789473683
they identified three possible reasons the cracking of the hull the bounce of the corn on the ground or the release of pressurized water vapor.,they brainstormed three possible reasons for the noise.,"They identified three possible reasons the cracking of the hull the bounce of the corn on the ground. They alternatively, the release of pressurized water vapor.",they identified three possible reasons the cracking of the hull or the bounce of the corn on the ground.,they identified three possible reasons the hull cracked and the corn hit the ground.,they said the cracking of the hull could be the bounce of the corn on the ground.,they identified three possible reasons the cracking of the hull the bounce of the corn on the ground or the release of pressurized water vapor.,48.59335038363171
to figure out which was responsible they placed a high end microphone centimeters away from the hot plate and synchronized it with the high speed camera.,to figure out which was responsible they placed very sensitive microphones less than a foot away from the hot plate.,To figure out which was responsible they placed a high end microphone centimeters away from the hot plate. Synchronized it with the high speed camera.,to figure out which was responsible they placed a high end microphone centimeters away from the hot plate.,to figure out which was responsible they placed a high end microphone centimeters away from the hot plate.,to figure out which was responsible they placed a high end microphone centimeters away from the hot plate.,they placed a microphone centimeters away from the hot plate and synchronized it with the high speed camera.,62.21624850657109
there was no sound when the popcorn first opened so the cracking of the hull was not the culprit.,at first when the hull cracked open there was no noise.,there was no sound when the popcorn first opened so the cracking of the hull was not the culprit.,there was no sound when the popcorn first opened.,there was no sound when the popcorn first opened.,there was no sound when the popcorn first opened.,there was no sound when the popcorn first opened so the cracking of the hull was not the cause.,51.66666666666666
there was no sound when the popcorn first opened which told the researchers that it was not the breaking hull that caused the noise.,at first when the hull cracked open there was no noise.,There was no sound when the popcorn first opened . It told the researchers that it was not the breaking hull that caused the noise.,it told the researchers that it was not the breaking hull that caused the noise.,this told the researchers that it was not the breaking hull that caused the noise.,it told the researchers that it was not the breaking hull that caused the noise.,there was no sound when the popcorn first opened which told the researchers that it was not the breaking hull that caused the noise.,27.368421052631582
there was no sound when the popcorn first opened which told the researchers that the hull was not causing the noise.,at first when the hull cracked open there was no noise.,There was no sound when the popcorn first opened . It told the researchers that the hull was not causing the noise.,there was no sound when the popcorn first opened.,this told the researchers that the hull was not causing the noise.,the researchers said the hull was not causing the noise.,there was no sound when the popcorn first opened which told the researchers that the hull was not causing the noise.,30.50108932461874
a second fracture was observed milliseconds later milliseconds after that the pop sound began.,and milliseconds after that the pop sound began.,a second fracture was observed milliseconds later milliseconds after that the pop sound began.,later milliseconds after that the pop sound began.,a second fracture was observed milliseconds later milliseconds after that the pop sound began.,a second fracture was observed milliseconds later.,a second fracture was observed milliseconds later milliseconds after that the pop sound began.,23.333333333333336
in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,the stirring glory is the musical centerpiece of the oscar nominated movie selma.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,15.789473684210527
in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,the stirring song glory is the musical centerpiece of the oscar nominated movie selma.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,15.789473684210527
in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,the song glory is in the oscar nominated movie selma.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,11.428571428571429
in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of it rapper common summarizes how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,24.63768115942029
in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in it rapper common tells how words music and a protest came together during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summation of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,in the midst of the stirring glory the musical centerpiece of the oscar nominated movie selma chicago rapper common delivers a terse summary of how words melody and a protest merged during the civil rights movement.,20.634920634920636
in the midst of it rapper common summarizes how words melody and a protest merged during the civil rights movement.,in it rapper common tells how words music and a protest came together during the civil rights movement.,in the midst of it rapper common summarizes how words melody and a protest merged during the civil rights movement.,rapper common explains how words melody and a protest merged during the civil rights movement.,in the midst of it rapper common summarizes how words melody and a protest merged during the civil rights movement.,in the midst of it rapper common talks about how words melody and a protest merged.,in the midst of it rapper common summarizes how words melody and a protest merged during the civil rights movement.,28.28282828282828
the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago on march.,many african american protesters were hurt in a voting rights march to the alabama capital of montgomery from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago on march.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery.,the blood of dozens of african americans was spilled in the first of three attempts to get voting rights marches to the alabama capital of montgomery years ago.,the blood of dozens of african americans was spilled in the first of three attempts to get people to vote in alabama years ago.,29.276315789473685
the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,many african american protesters were hurt in a voting rights march to the alabama capital of montgomery from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,three people marched to the alabama capital of montgomery from selma years ago.,it was the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempts to get voting rights marches to the alabama capital of montgomery years ago.,the blood of dozens of african americans was spilled in the first of three attempts to vote in alabama years ago.,42.77777777777778
the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago on march.,many african americans were badly hurt during the march from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago on march.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery.,the blood of dozens of african americans was spilled in the first of three attempts to get voting rights marches to the alabama capital of montgomery years ago.,the blood of dozens of african americans was spilled in the first of three attempts to get people to vote in alabama years ago.,18.25641025641026
the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,many african americans were badly hurt during the march from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,three people marched to the alabama capital of montgomery from selma years ago.,it was the first of three attempted voting rights marches to the alabama capital of montgomery from selma years ago.,the blood of dozens of african americans was spilled in the first of three attempts to get voting rights marches to the alabama capital of montgomery years ago.,the blood of dozens of african americans was spilled in the first of three attempts to vote in alabama years ago.,25.454545454545457
many african american protesters were hurt in a voting rights march to the alabama capital of montgomery from selma years ago.,many african americans were badly hurt during the march from selma years ago.,many african american protesters were hurt in a voting rights march to the alabama capital of montgomery from selma years ago.,many african american protesters were hurt in a march to the alabama capital of montgomery years ago.,many african american protesters were hurt in a march to the alabama capital of montgomery years ago.,many african american protesters were hurt in a voting rights march to montgomery years ago.,many african american protesters were hurt in a voting rights march to the alabama capital of montgomery years ago.,28.64197530864198
he connects parks with last year s protests in ferguson missouri over the police slaying of an unarmed african american resident michael brown.,common connects parks with last year s protests in ferguson missouri.,He connects parks with last year s protests in ferguson missouri over the police slaying of an unarmed african american resident . It was michael brown.,he connects parks with last year s protests in ferguson missouri.,he connects parks with last year s protests in ferguson missouri.,he connects parks with last year s protests in ferguson missouri.,he connects parks with last year s protests in ferguson missouri over the police killing of an unarmed african american man.,84.32098765432099
in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah which included references both glancing and startlingly direct to the chain of events between selma and ferguson.,in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than years.,In the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah . It included references both glancing and startlingly direct to the chain of events between selma and ferguson.,in the months after the outrage stirred by the deaths of brown and another unarmed african american singer d angelo released his first album in more than years black messiah.,in the months after the killings of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah.,in new york singer d angelo released his first album in more than a decade black messiah.,in the months after the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah.,54.73684210526315
in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah which included references both glancing and startlingly direct to the chain of events between selma and ferguson.,other singers sang about similar issues in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york.,In the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah . It included references both glancing and startlingly direct to the chain of events between selma and ferguson.,in the months after the outrage stirred by the deaths of brown and another unarmed african american singer d angelo released his first album in more than years black messiah.,in the months after the killings of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah.,in new york singer d angelo released his first album in more than a decade black messiah.,in the months after the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade black messiah.,40.59889676910953
in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade.,other singers sang about similar issues in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york.,in the months after the outrage stirred by the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade.,in the months after the outrage stirred by the deaths of brown and another african american singer d angelo released his first album in more than years.,in the months after brown and another unarmed african american eric garner were killed in new york singer d angelo released his first album in more than years.,in new york singer d angelo released his first album in more than a decade.,in the months after the deaths of brown and another unarmed african american eric garner in new york singer d angelo released his first album in more than a decade.,26.71451355661882
it is the most recent evidence that the soundtrack for the civil rights movement continues to be written.,songs for the civil rights movement continue to be written.,it is the most recent evidence that the soundtrack for the civil rights movement continues to be written.,it is the most recent evidence that the soundtrack for the civil rights movement continues to be written.,it is the most recent evidence that the soundtrack for the civil rights movement continues to be written.,it is the most recent evidence that the music for the civil rights movement continues to be written.,it is the most recent evidence that the soundtrack for the civil rights movement continues to be written.,22.22222222222222
as newsweek magazine said in history has never known a protest movement so rich in song.,newsweek magazine talked about the fight for civil rights in.,as newsweek magazine said in history has never known a protest movement so rich in song.,in history has never known a protest movement so rich in song.,in history has never known a protest movement so rich in song.,newsweek magazine said in history has never known a protest movement so rich in song.,in history has never known a protest movement so rich in song said newsweek magazine.,7.8431372549019605
as newsweek magazine said of the civil rights movement in history has never known a protest movement so rich in song.,newsweek magazine talked about the fight for civil rights in.,Newsweek magazine said of the civil rights movement in history. Has never known a protest movement so rich in song.,it has never known a protest movement so rich in song.,as newsweek magazine said of the civil rights movement in history nobody has never known a protest movement so rich in song.,as newsweek magazine said of the civil rights movement in history has never known a protest movement so rich in song.,newsweek magazine said of the civil rights movement in history has never known a protest movement so rich in song.,13.333333333333334
in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way and on a broader scale spread news of the struggle to a mainstream audience.,during the s african american freedom songs aimed to motivate protesters to march into dangerous situations.,in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way and on a broader scale spread news of the struggle to a mainstream audience.,on a broader scale they spread news of the struggle to a mainstream audience.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form african american freedom songs aimed to motivate protesters to march into harm s way and spread news of the struggle to a wider audience.,55.97222222222222
in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way.,during the s african american freedom songs aimed to motivate protesters to march into dangerous situations.,in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way.,it aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form african american freedom songs aimed to motivate protesters to march into harm s way.,36.60714285714286
in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way and on a broader scale spread news of the struggle to a mainstream audience.,during the s there were african american freedom songs.,in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way and on a broader scale spread news of the struggle to a mainstream audience.,on a broader scale they spread news of the struggle to a mainstream audience.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form african american freedom songs aimed to motivate protesters to march into harm s way and spread news of the struggle to a wider audience.,39.42342342342342
in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way.,during the s there were african american freedom songs.,in its original incarnation during the s african american freedom songs aimed to motivate protesters to march into harm s way.,it aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form during the s african american freedom songs aimed to motivate protesters to march into harm s way.,in its original form african american freedom songs aimed to motivate protesters to march into harm s way.,20.76190476190476
